LineNo,ExportDateTime,BRVersion,Cube,User,Entity,Parent,Cons,Scenario,Time,View,Account,Flow,Origin,IC,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,Amount
140,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A84000","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",30000.000000000
141,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A84010","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",-173.000000000
142,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A84210","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",15000.000000000
143,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A84500","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",5000.000000000
144,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A85100","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",8452.000000000
145,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A85110","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",3000.000000000
146,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A86310","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",1052.000000000
147,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A69000","EMEA APAC_IN","Forms","CO260","D350","CTY301","None","PLT100","None","None","None","None",4158.444190453
148,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","EndingHeadcount","EMEA APAC_IN","Forms","None","D350","CTY301","None","PLT100","None","None","None","None",0.100000000
149,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A86900","EMEA APAC_IN","Forms","CO105","D340","CTY100","None","PLT100","None","None","None","None",69379.802383196
150,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","MeritRate","Input","Forms","None","None","None","None","None","None","None","None","None",0.100000000
151,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","FringeRate","Input","Forms","None","None","None","None","None","None","None","None","None",0.250000000
152,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","Performance","Input","Forms","None","None","None","None","None","None","None","None","None",1.000000000
153,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","DaysPerMonth","Input","Forms","None","None","None","None","None","None","None","None","None",30.000000000
154,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","Balance","Input","Forms","None","None","None","None","None","None","None","None","None",-73538.246573649
155,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","CurEarnings","Input","Forms","None","None","None","None","None","None","None","None","None",-73538.246573649
